index	label	name	hemisphere	region_abbrev	lobe	cortex_type	x_cog	y_cog	z_cog	volume_mm3
128	STSda_L	Area_STSd_anterior_L	L	STSda	Temp	Auditory_Association	143.831461	123.554073	57.391854	1424
129	STSdp_L	Area_STSd_posterior_L	L	STSdp	Temp	Auditory_Association	143.062832	94.156637	72.083186	1130
130	STSvp_L	Area_STSv_posterior_L	L	STSvp	Temp	Auditory_Association	146.913625	91.085158	67.189173	1644
131	TGd_L	Area_TG_dorsal_L	L	TGd	Temp	Lateral_Temporal	127.26011	137.751977	35.261304	6701
132	TE1a_L	Area_TE1_anterior_L	L	TE1a	Temp	Lateral_Temporal	150.202228	122.362624	47.172277	4040
133	TE1p_L	Area_TE1_posterior_L	L	TE1p	Temp	Lateral_Temporal	152.940325	78.805713	61.515946	5111
134	TE2a_L	Area_TE2_anterior_L	L	TE2a	Temp	Lateral_Temporal	148.079856	104.370685	42.029109	3882
135	TF_L	Area_TF_L	L	TF	Temp	Medial_Temporal	132.406298	105.142089	41.219662	2604
136	TE2p_L	Area_TE2_posterior_L	L	TE2p	Temp	Lateral_Temporal	142.182155	83.665679	49.921881	2701
137	PHT_L	Area_PHT_L	L	PHT	Temp	Lateral_Temporal	150.083714	66.180795	74.12733	2843
138	PH_L	Area_PH_L	L	PH	Temp	MT+_Complex_and_Neighboring_Visual_Areas	139.578644	61.953921	65.579087	2257
139	TPOJ1_L	Area_TemporoParietoOccipital_Junction_1_L	L	TPOJ1	Temp	Temporo-Parieto-Occipital_Junction	144.16796	79.669019	81.137615	1417
140	TPOJ2_L	Area_TemporoParietoOccipital_Junction_2_L	L	TPOJ2	Par	Temporo-Parieto-Occipital_Junction	143.28	62.095686	87.299608	1275
141	TPOJ3_L	Area_TemporoParietoOccipital_Junction_3_L	L	TPOJ3	Occ	Temporo-Parieto-Occipital_Junction	133.675835	54.257367	91.510806	509
142	DVT_L	Dorsal_Transitional_Visual_Area_L	L	DVT	Occ	Posterior_Cingulate	108.042324	53.086307	103.566805	1205
143	PGp_L	Area_PGp_L	L	PGp	Occ	Inferior_Parietal	129.425332	40.278761	94.142146	1808
144	IP2_L	Area_IntraParietal_2_L	L	IP2	Par	Inferior_Parietal	131.750374	77.285501	114.758595	1338
145	IP1_L	Area_IntraParietal_1_L	L	IP1	Par	Inferior_Parietal	121.635182	55.480069	111.34922	1154
146	IP0_L	Area_IntraParietal_0_L	L	IP0	Occ	Inferior_Parietal	122.033257	45.806193	97.033257	872
147	PFop_L	Area_PF_Opercular_L	L	PFop	Par	Inferior_Parietal	154.842679	102.913551	96.221963	1284
148	PF_L	Area_PF_Complex_L	L	PF	Par	Inferior_Parietal	151.894297	89.867502	108.288348	4068
149	PFm_L	Area_PFm_Complex_L	L	PFm	Par	Inferior_Parietal	140.702334	70.065862	118.414359	5056
150	PGi_L	Area_PGi_L	L	PGi	Par	Inferior_Parietal	138.62727	61.299798	99.072355	3469
151	PGs_L	Area_PGs_L	L	PGs	Par	Inferior_Parietal	131.808463	48.857461	110.436526	3143
152	V6A_L	Area_V6A_L	L	V6A	Occ	Dorsal_Stream_Visual	112.534483	39.66092	114.188218	696
153	VMV1_L	VentroMedial_Visual_Area_1_L	L	VMV1	Occ	Ventral_Stream_Visual	110.244105	74.319001	64.307906	721
154	VMV3_L	VentroMedial_Visual_Area_3_L	L	VMV3	Occ	Ventral_Stream_Visual	119.618762	64.508982	61.017964	501
155	PHA2_L	ParaHippocampal_Area_2_L	L	PHA2	Temp	Medial_Temporal	121.389831	90.169492	58.122881	236
156	V4t_L	Area_V4t_L	L	V4t	Occ	MT+_Complex_and_Neighboring_Visual_Areas	138.695811	48.185792	74.724954	549
157	FST_L	Area_FST_L	L	FST	Occ	MT+_Complex_and_Neighboring_Visual_Areas	137.648765	57.787325	76.535983	931
158	V3CD_L	Area_V3CD_L	L	V3CD	Occ	MT+_Complex_and_Neighboring_Visual_Areas	125.152542	36.195686	81.429892	649
159	LO3_L	Area_Lateral_Occipital_3_L	L	LO3	Occ	MT+_Complex_and_Neighboring_Visual_Areas	136.842415	48.964654	85.864507	679
160	VMV2_L	VentroMedial_Visual_Area_2_L	L	VMV2	Occ	Ventral_Stream_Visual	119.360502	74.39185	66.366771	319
161	31pd_L	Area_31pd_L	L	31pd	Par	Posterior_Cingulate	102.136519	73.851536	106.767918	586
162	31a_L	Area_31a_L	L	31a	Par	Posterior_Cingulate	95.984389	88.707989	115.960514	1089
163	VVC_L	Ventral_Visual_Complex_L	L	VVC	Temp	Ventral_Stream_Visual	121.913003	74.920407	53.816752	2161
164	25_L	Area_25_L	L	25	Fr	Anterior_Cingulate_and_Medial_Prefrontal	95.291898	147.049945	57.497225	901
165	s32_L	Area_s32_L	L	s32	Fr	Anterior_Cingulate_and_Medial_Prefrontal	97.364516	159.174194	54.480645	310
166	pOFC_L	Posterior_OFC_Complex_L	L	pOFC	Fr	Anterior_Cingulate_and_Medial_Prefrontal	104.455746	137.165786	52.015852	1514
167	PoI1_L	Area_Posterior_Insular_1_L	L	PoI1	Ins	Insular_and_Frontal_Opercular	129.839378	113.685665	68.664076	1158
168	Ig_L	Insular_Granular_Complex_L	L	Ig	Ins	Insular_and_Frontal_Opercular	126.25974	110.064935	86.446429	616
169	FOP5_L	Area_Frontal_Opercular_5_L	L	FOP5	Fr	Insular_and_Frontal_Opercular	125.928129	152.826518	75.615861	807
170	p10p_L	Area_posterior_10p_L	L	p10p	Fr	Orbital_and_Polar_Frontal	114.061006	189.546541	72.976101	1590
171	p47r_L	Area_posterior_47r_L	L	p47r	Fr	Inferior_Frontal	134.951128	169.179699	72.101504	1330
172	TGv_L	Area_TG_Ventral_L	L	TGv	Temp	Lateral_Temporal	127.497751	123.922939	25.901949	3335
173	MBelt_L	Medial_Belt_Complex_L	L	MBelt	Temp	Early_Auditory	136.939267	110.757068	73.956021	955
