index	label	name	hemisphere	region_abbrev	lobe	cortex_type	x_cog	y_cog	z_cog	volume_mm3
304	RI_R	RetroInsular_Cortex_R	R	RI	Par	Early_Auditory	46.93904	94.059663	90.975357	771
305	PFcm_R	Area_PFcm_R	R	PFcm	Par	Early_Auditory	42.446673	98.010939	94.233364	1097
306	PoI2_R	Posterior_Insular_Area_2_R	R	PoI2	Ins	Insular_and_Frontal_Opercular	50.080778	122.827214	71.63067	2315
307	TA2_R	Area_TA2_R	R	TA2	Temp	Auditory_Association	39.836312	130.301644	63.779843	1399
308	FOP4_R	Frontal_Opercular_Area_4_R	R	FOP4	Fr	Insular_and_Frontal_Opercular	50.523336	141.361132	77.437643	1307
309	MI_R	Middle_Insular_Area_R	R	MI	Ins	Insular_and_Frontal_Opercular	52.77037	135.922222	73.7	1350
310	Pir_R	Pirform_Cortex_R	R	Pir	Temp	Insular_and_Frontal_Opercular	57.555081	133.362084	52.703672	1171
311	AVI_R	Anterior_Ventral_Insular_Area_R	R	AVI	Ins	Insular_and_Frontal_Opercular	58.445161	150.95914	67.72043	930
312	AAIC_R	Anterior_Agranular_Insula_Complex_R	R	AAIC	Ins	Insular_and_Frontal_Opercular	54.936552	141.408966	60.337241	1450
313	FOP1_R	Frontal_Opercular_Area_1_R	R	FOP1	Fr	Posterior_Opercular	43.638509	131.004969	75.765217	805
314	FOP3_R	Frontal_Opercular_Area_3_R	R	FOP3	Ins	Insular_and_Frontal_Opercular	56.149813	133.580524	83.445693	267
315	FOP2_R	Frontal_Opercular_Area_2_R	R	FOP2	Ins	Insular_and_Frontal_Opercular	49.524038	122.612981	86.716346	416
316	PFt_R	Area_PFt_R	R	PFt	Par	Inferior_Parietal	36.126206	103.276912	110.400148	1347
317	AIP_R	Anterior_IntraParietal_Area_R	R	AIP	Par	Superior_Parietal	53.147097	85.464516	115.539355	1550
318	EC_R	Entorhinal_Cortex_R	R	EC	Temp	Medial_Temporal	70.108232	115.451982	45.18064	1312
319	PreS_R	PreSubiculum_R	R	PreS	Temp	Medial_Temporal	70.221751	95.334746	62.004237	708
320	H_R	Hippocampus_R	R	H	Temp	Medial_Temporal	60.712375	103.927258	54.33194	1196
321	ProS_R	ProStriate_Area_R	R	ProS	Par	Posterior_Cingulate	70.101423	77.854093	73.617438	562
322	PeEc_R	Perirhinal_Ectorhinal_Cortex_R	R	PeEc	Temp	Medial_Temporal	63.003326	117.21583	36.977054	3007
323	STGa_R	Area_STGa_R	R	STGa	Temp	Auditory_Association	41.594035	142.606208	49.973828	1643
324	PBelt_R	ParaBelt_Complex_R	R	PBelt	Temp	Early_Auditory	33.096591	107.575487	79.568994	1232
325	A5_R	Auditory_5_Complex_R	R	A5	Temp	Auditory_Association	29.134363	113.095062	68.029224	2977
326	PHA1_R	ParaHippocampal_Area_1_R	R	PHA1	Temp	Medial_Temporal	70.162458	92.5	55.005892	1188
327	PHA3_R	ParaHippocampal_Area_3_R	R	PHA3	Temp	Medial_Temporal	56.793319	89.695198	55.185804	479
328	STSda_R	Area_STSd_anterior_R	R	STSda	Temp	Auditory_Association	38.705061	125.180919	55.141361	1719
329	STSdp_R	Area_STSd_posterior_R	R	STSdp	Temp	Auditory_Association	41.526702	98.094126	69.690254	1498
330	STSvp_R	Area_STSv_posterior_R	R	STSvp	Temp	Auditory_Association	30.95466	98.034257	65.971788	1985
331	TGd_R	Area_TG_dorsal_R	R	TGd	Temp	Lateral_Temporal	55.264395	140.071941	34.559763	7103
332	TE1a_R	Area_TE1_anterior_R	R	TE1a	Temp	Lateral_Temporal	32.156938	125.713112	43.546788	3409
333	TE1p_R	Area_TE1_posterior_R	R	TE1p	Temp	Lateral_Temporal	27.790845	84.652057	59.44899	4107
334	TE2a_R	Area_TE2_anterior_R	R	TE2a	Temp	Lateral_Temporal	35.763051	107.785779	39.880513	4444
335	TF_R	Area_TF_R	R	TF	Temp	Medial_Temporal	49.626318	105.570338	41.435842	2751
336	TE2p_R	Area_TE2_posterior_R	R	TE2p	Temp	Lateral_Temporal	41.843798	89.348137	49.277693	1959
337	PHT_R	Area_PHT_R	R	PHT	Temp	Lateral_Temporal	30.004594	73.093109	65.673201	3265
338	PH_R	Area_PH_R	R	PH	Temp	MT+_Complex_and_Neighboring_Visual_Areas	41.367731	64.734587	61.13861	2287
339	TPOJ1_R	Area_TemporoParietoOccipital_Junction_1_R	R	TPOJ1	Temp	Temporo-Parieto-Occipital_Junction	36.339798	82.305051	82.842828	2475
340	TPOJ2_R	Area_TemporoParietoOccipital_Junction_2_R	R	TPOJ2	Par	Temporo-Parieto-Occipital_Junction	34.431659	69.409508	81.67477	1851
341	TPOJ3_R	Area_TemporoParietoOccipital_Junction_3_R	R	TPOJ3	Par	Temporo-Parieto-Occipital_Junction	44.569097	65.107726	91.621328	919
342	DVT_R	Dorsal_Transitional_Visual_Area_R	R	DVT	Par	Posterior_Cingulate	71.658746	57.291089	104.820462	1515
343	PGp_R	Area_PGp_R	R	PGp	Par	Inferior_Parietal	45.491584	48.937135	98.336654	2911
344	IP2_R	Area_IntraParietal_2_R	R	IP2	Par	Inferior_Parietal	49.719313	79.054936	117.186266	1165
345	IP1_R	Area_IntraParietal_1_R	R	IP1	Par	Inferior_Parietal	56.10469	57.245394	114.665829	1194
346	IP0_R	Area_IntraParietal_0_R	R	IP0	Par	Inferior_Parietal	56.220528	48.778455	98.620935	984
347	PFop_R	Area_PF_Opercular_R	R	PFop	Par	Inferior_Parietal	28.000702	105.724719	95.294944	1424
348	PF_R	Area_PF_Complex_R	R	PF	Par	Inferior_Parietal	29.656612	96.343693	111.425046	3282
349	PFm_R	Area_PFm_Complex_R	R	PFm	Par	Inferior_Parietal	38.024068	76.292314	117.520769	5152
350	PGi_R	Area_PGi_R	R	PGi	Par	Inferior_Parietal	37.886767	66.21809	101.865327	2985
351	PGs_R	Area_PGs_R	R	PGs	Par	Inferior_Parietal	45.735542	57.616193	114.445321	1902
352	V6A_R	Area_V6A_R	R	V6A	Par	Dorsal_Stream_Visual	66.971053	43.206579	117.961842	760
353	VMV1_R	VentroMedial_Visual_Area_1_R	R	VMV1	Occ	Ventral_Stream_Visual	71.942782	73.198944	63.584507	1136
354	VMV3_R	VentroMedial_Visual_Area_3_R	R	VMV3	Occ	Ventral_Stream_Visual	62.83642	64.92284	61.896605	648
355	PHA2_R	ParaHippocampal_Area_2_R	R	PHA2	Temp	Medial_Temporal	60.39823	91.648968	57.716814	339
356	V4t_R	Area_V4t_R	R	V4t	Occ	MT+_Complex_and_Neighboring_Visual_Areas	41.209816	53.52638	69.720245	815
357	FST_R	Area_FST_R	R	FST	Occ	MT+_Complex_and_Neighboring_Visual_Areas	38.91249	62.962609	72.511535	1257
358	V3CD_R	Area_V3CD_R	R	V3CD	Occ	MT+_Complex_and_Neighboring_Visual_Areas	51.141138	43.050328	83.778993	914
359	LO3_R	Area_Lateral_Occipital_3_R	R	LO3	Par	MT+_Complex_and_Neighboring_Visual_Areas	41.930187	53.481809	85.433628	1017
360	VMV2_R	VentroMedial_Visual_Area_2_R	R	VMV2	Occ	Ventral_Stream_Visual	62.482	72.616	65.532	500
361	31pd_R	Area_31pd_R	R	31pd	Par	Posterior_Cingulate	77.37785	74.687296	107.338762	307
362	31a_R	Area_31a_R	R	31a	Par	Posterior_Cingulate	83.9	85.809091	114.561039	770
363	VVC_R	Ventral_Visual_Complex_R	R	VVC	Temp	Ventral_Stream_Visual	61.276977	79.81999	52.749876	2011
364	25_R	Area_25_R	R	25	Fr	Anterior_Cingulate_and_Medial_Prefrontal	87.037037	143.861454	58.698217	729
365	s32_R	Area_s32_R	R	s32	Fr	Anterior_Cingulate_and_Medial_Prefrontal	86.948307	156.390374	55.54902	561
366	pOFC_R	posterior_OFC_Complex_R	R	pOFC	Fr	Anterior_Cingulate_and_Medial_Prefrontal	77.656757	138.762838	52.856757	1480
367	PoI1_R	Area_Posterior_Insular_1_R	R	PoI1	Ins	Insular_and_Frontal_Opercular	52.45642	115.341143	68.178069	1067
368	Ig_R	Insular_Granular_Complex_R	R	Ig	Ins	Insular_and_Frontal_Opercular	54.984127	112.0839	86.482993	441
369	FOP5_R	Area_Frontal_Opercular_5_R	R	FOP5	Ins	Insular_and_Frontal_Opercular	53.738178	153.878893	75.189158	867
370	p10p_R	Area_posterior_10p_R	R	p10p	Fr	Orbital_and_Polar_Frontal	66.879454	187.415677	72.800475	1684
371	p47r_R	Area_posterior_47r_R	R	p47r	Fr	Inferior_Frontal	44.467343	172.381737	65.509195	1577
372	TGv_R	Area_TG_Ventral_R	R	TGv	Temp	Lateral_Temporal	56.653745	123.570388	25.638589	3431
373	MBelt_R	Medial_Belt_Complex_R	R	MBelt	Temp	Early_Auditory	43.806818	111.762784	74.931818	704
374	LBelt_R	Lateral_Belt_Complex_R	R	LBelt	Temp	Early_Auditory	41.808564	101.870277	81.278338	794
375	A4_R	Auditory_4_Complex_R	R	A4	Temp	Auditory_Association	25.519804	111.76766	76.545529	2449
376	STSva_R	Area_STSv_anterior_R	R	STSva	Temp	Auditory_Association	32.924419	117.527907	54.337791	1720
377	TE1m_R	Area_TE1_Middle_R	R	TE1m	Temp	Lateral_Temporal	26.146605	102.236497	53.246528	2592
378	PI_R	Para-Insular_Area_R	R	PI	Temp	Insular_and_Frontal_Opercular	47.013363	123.157016	57.926503	898
379	a32pr_R	Area_anterior_32_prime_R	R	a32pr	Fr	Anterior_Cingulate_and_Medial_Prefrontal	81.723096	153.990326	102.516324	827
380	p24_R	Area_posterior_24_R	R	p24	Fr	Anterior_Cingulate_and_Medial_Prefrontal	86.096222	161.202423	88.541696	1403
