index	label	name	hemisphere	structure	x_cog	y_cog	z_cog
1	HIP-rh	HIP-rh	R	HIP	28.0	-22.0	-14.0
2	AMY-rh	AMY-rh	R	AMY	24.0	-4.0	-18.0
3	pTHA-rh	pTHA-rh	R	pTHA	16.0	-26.0	2.0
4	aTHA-rh	aTHA-rh	R	aTHA	10.0	-14.0	8.0
5	NAc-rh	NAc-rh	R	NAc	12.0	14.0	-6.0
6	GP-rh	GP-rh	R	GP	20.0	-4.0	-2.0
7	PUT-rh	PUT-rh	R	PUT	26.0	0.0	0.0
8	CAU-rh	CAU-rh	R	CAU	14.0	10.0	10.0
9	HIP-lh	HIP-lh	L	HIP	-26.0	-22.0	-14.0
10	AMY-lh	AMY-lh	L	AMY	-22.0	-4.0	-18.0
11	pTHA-lh	pTHA-lh	L	pTHA	-14.0	-26.0	2.0
12	aTHA-lh	aTHA-lh	L	aTHA	-8.0	-14.0	8.0
13	NAc-lh	NAc-lh	L	NAc	-10.0	14.0	-6.0
14	GP-lh	GP-lh	L	GP	-18.0	-4.0	-2.0
15	PUT-lh	PUT-lh	L	PUT	-24.0	0.0	0.0
16	CAU-lh	CAU-lh	L	CAU	-12.0	10.0	10.0
