index	label	name	hemisphere	lobe	cortex_type	region_id	r	g	b	x_cog	y_cog	z_cog	volume_mm3
177	i6-8_L	Inferior_6-8_Transitional_Area_L	L	Fr	Dorsolateral_Prefrontal	97.0	225	208	0	119.66028	129.204864	127.283714	1357.0
178	p9-46v_L	Area_posterior_9-46v_L	L	Fr	Dorsolateral_Prefrontal	83.0	209	225	0	138.145009	155.665913	98.46629	2655.0
179	s6-8_L	Superior_6-8_Transitional_Area_L	L	Fr	Dorsolateral_Prefrontal	98.0	67	253	0	112.448914	151.434433	128.003218	1243.0
180	SFL_L	Superior_Frontal_Language_Area_L	L	Fr	Dorsolateral_Prefrontal	26.0	152	1	0	98.31097	142.730684	135.373291	3145.0
181	V1_R	Primary_Visual_Cortex_R	R	Occ	Primary_Visual	201.0	216	117	0	78.060375	44.539286	74.333474	7089.0
182	V2_R	Second_Visual_Area_R	R	Occ	Early_Visual	204.0	50	224	0	77.026083	47.558042	76.305265	6211.0
183	V3_R	Third_Visual_Area_R	R	Occ	Early_Visual	205.0	58	133	0	71.976821	41.580308	78.859282	4875.0
184	V4_R	Fourth_Visual_Area_R	R	Occ	Early_Visual	206.0	44	241	0	57.656017	41.782393	71.003195	2817.0
185	IPS1_R	IntraParietal_Sulcus_Area_1_R	R	Par	Dorsal_Stream_Visual	217.0	59	163	0	64.710065	55.195753	111.066482	1083.0
186	V3A_R	Area_V3A_R	R	Occ	Dorsal_Stream_Visual	213.0	112	245	0	75.553398	36.584466	102.458252	1545.0
187	V3B_R	Area_V3B_R	R	Occ	Dorsal_Stream_Visual	219.0	80	62	0	60.919386	48.422265	91.56238	521.0
188	V6_R	Sixth_Visual_Area_R	R	Occ	Dorsal_Stream_Visual	203.0	236	173	0	72.226868	49.256228	102.929715	1124.0
189	V6A_R	Area_V6A_R	R	Par	Dorsal_Stream_Visual	352.0	110	74	0	66.971053	43.206579	117.961842	760.0
190	V7_R	Seventh_Visual_Area_R	R	Occ	Dorsal_Stream_Visual	216.0	48	172	0	62.285714	42.400534	103.668892	749.0
191	FFC_R	Fusiform_Face_Complex_R	R	Temp	Ventral_Stream_Visual	218.0	231	178	0	49.72947	75.126159	51.324834	3020.0
192	PIT_R	Posterior_InferoTemporal_complex_R	R	Occ	Ventral_Stream_Visual	222.0	250	18	0	44.641614	49.954905	58.057753	1264.0
193	V8_R	Eighth_Visual_Area_R	R	Occ	Ventral_Stream_Visual	207.0	112	65	0	60.698264	51.949266	59.301736	749.0
194	VMV1_R	VentroMedial_Visual_Area_1_R	R	Occ	Ventral_Stream_Visual	353.0	29	58	0	71.942782	73.198944	63.584507	1136.0
195	VMV2_R	VentroMedial_Visual_Area_2_R	R	Occ	Ventral_Stream_Visual	360.0	66	171	0	62.482	72.616	65.532	500.0
196	VMV3_R	VentroMedial_Visual_Area_3_R	R	Occ	Ventral_Stream_Visual	354.0	105	216	0	62.83642	64.92284	61.896605	648.0
197	VVC_R	Ventral_Visual_Complex_R	R	Temp	Ventral_Stream_Visual	363.0	152	88	0	61.276977	79.81999	52.749876	2011.0
198	FST_R	Area_FST_R	R	Occ	MT+_Complex_and_Neighboring_Visual_Areas	357.0	67	200	0	38.91249	62.962609	72.511535	1257.0
199	LO1_R	Area_Lateral_Occipital_1_R	R	Occ	MT+_Complex_and_Neighboring_Visual_Areas	220.0	154	173	0	47.281977	45.175872	76.959302	688.0
200	LO2_R	Area_Lateral_Occipital_2_R	R	Occ	MT+_Complex_and_Neighboring_Visual_Areas	221.0	182	2	0	44.07	44.375	67.918333	600.0
201	LO3_R	Area_Lateral_Occipital_3_R	R	Par	MT+_Complex_and_Neighboring_Visual_Areas	359.0	57	154	0	41.930187	53.481809	85.433628	1017.0
