index	label	name	hemisphere	lobe	cortex_type	region_id	r	g	b	x_cog	y_cog	z_cog	volume_mm3
325	p24pr_R	Area_Posterior_24_prime_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	257.0	44	172	0	85.71482	122.438623	112.543413	1336.0
326	p32_R	Area_p32_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	264.0	9	112	0	82.359393	174.618436	69.042007	857.0
327	p32pr_R	Area_p32_prime_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	260.0	144	213	0	82.475465	140.625212	112.576142	1182.0
328	pOFC_R	posterior_OFC_Complex_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	366.0	225	197	0	77.656757	138.762838	52.856757	1480.0
329	s32_R	Area_s32_R	R	Fr	Anterior_Cingulate_and_Medial_Prefrontal	365.0	171	43	0	86.948307	156.390374	55.54902	561.0
330	10d_R	Area_10d_R	R	Fr	Orbital_and_Polar_Frontal	272.0	49	220	0	81.086781	193.730216	74.665468	2224.0
331	10pp_R	Polar_10p_R	R	Fr	Orbital_and_Polar_Frontal	290.0	95	253	0	79.325648	188.469741	53.417291	1735.0
332	11l_R	Area_11l_R	R	Fr	Orbital_and_Polar_Frontal	291.0	118	132	0	65.791587	172.746973	54.321224	3138.0
333	13l_R	Area_13l_R	R	Fr	Orbital_and_Polar_Frontal	292.0	251	226	0	70.701739	152.646957	50.322609	1150.0
334	47m_R	Area_47m_R	R	Fr	Orbital_and_Polar_Frontal	266.0	40	150	0	57.754386	157.371517	53.686275	969.0
335	47s_R	Area_47s_R	R	Fr	Orbital_and_Polar_Frontal	294.0	219	40	0	60.445039	146.166964	51.135472	1683.0
336	a10p_R	Area_anterior_10p_R	R	Fr	Orbital_and_Polar_Frontal	289.0	165	51	0	66.79639	188.730686	61.363177	1385.0
337	OFC_R	Orbital_Frontal_Complex_R	R	Fr	Orbital_and_Polar_Frontal	293.0	96	104	0	83.615202	158.638955	45.933017	2105.0
338	p10p_R	Area_posterior_10p_R	R	Fr	Orbital_and_Polar_Frontal	370.0	49	191	0	66.879454	187.415677	72.800475	1684.0
339	44_R	Area_44_R	R	Fr	Inferior_Frontal	274.0	110	211	0	37.055203	145.308467	85.935472	2681.0
340	45_R	Area_45_R	R	Fr	Inferior_Frontal	275.0	123	202	0	39.515005	153.265247	72.484511	2066.0
341	47l_R	Area_47l_(47_lateral)_R	R	Fr	Inferior_Frontal	276.0	31	82	0	46.146087	158.131594	56.831304	1725.0
342	a47r_R	Area_anterior_47r_R	R	Fr	Inferior_Frontal	277.0	151	137	0	52.625557	178.539747	62.249629	2692.0
343	IFJa_R	Area_IFJa_R	R	Fr	Inferior_Frontal	279.0	58	23	0	50.829828	143.133843	95.51434	523.0
344	IFJp_R	Area_IFJp_R	R	Fr	Inferior_Frontal	280.0	99	29	0	54.052897	133.420655	99.677582	397.0
345	IFSa_R	Area_IFSa_R	R	Fr	Inferior_Frontal	282.0	149	35	0	42.045036	164.740532	73.742068	1954.0
346	IFSp_R	Area_IFSp_R	R	Fr	Inferior_Frontal	281.0	65	174	0	44.515479	155.734341	89.435565	1389.0
347	p47r_R	Area_posterior_47r_R	R	Fr	Inferior_Frontal	371.0	75	127	0	44.467343	172.381737	65.509195	1577.0
348	46_R	Area_46_R	R	Fr	Dorsolateral_Prefrontal	284.0	158	49	0	54.973373	167.290598	102.286325	3042.0
349	8Ad_R	Area_8Ad_R	R	Fr	Dorsolateral_Prefrontal	268.0	68	127	0	67.233301	158.5722	113.623772	2036.0
350	8Av_R	Area_8Av_R	R	Fr	Dorsolateral_Prefrontal	267.0	211	38	0	51.352616	145.949195	120.685614	3976.0
351	8BL_R	Area_8B_Lateral_R	R	Fr	Dorsolateral_Prefrontal	270.0	251	15	0	78.91626	168.845999	120.171207	3487.0
352	8C_R	Area_8C_R	R	Fr	Dorsolateral_Prefrontal	273.0	187	217	0	50.37308	145.14594	108.576811	2734.0
353	9-46d_R	Area_9-46d_R	R	Fr	Dorsolateral_Prefrontal	286.0	88	143	0	61.307805	176.773458	93.881321	3421.0
354	9a_R	Area_9_anterior_R	R	Fr	Dorsolateral_Prefrontal	287.0	149	238	0	70.836969	188.89409	90.121777	2521.0
355	9p_R	Area_9_Posterior_R	R	Fr	Dorsolateral_Prefrontal	271.0	28	178	0	71.348837	176.911205	105.233263	1419.0
356	a9-46v_R	Area_anterior_9-46v_R	R	Fr	Dorsolateral_Prefrontal	285.0	232	149	0	50.407407	178.769841	79.984127	1890.0
357	i6-8_R	Inferior_6-8_Transitional_Area_R	R	Fr	Dorsolateral_Prefrontal	297.0	225	208	0	58.342047	134.887653	128.925473	1798.0
358	p9-46v_R	Area_posterior_9-46v_R	R	Fr	Dorsolateral_Prefrontal	283.0	209	225	0	43.648143	159.269405	97.278164	3311.0
359	s6-8_R	Superior_6-8_Transitional_Area_R	R	Fr	Dorsolateral_Prefrontal	298.0	67	253	0	70.548089	149.926634	130.08693	1622.0
360	SFL_R	Superior_Frontal_Language_Area_R	R	Fr	Dorsolateral_Prefrontal	226.0	152	1	0	82.702811	141.914659	137.409639	1992.0
361	Thal_AnteroventralNucleus_L	Thal_AnteroventralNucleus_L	L				6	221	0				
362	Thal_Central_medial_L	Thal_Central_medial_L	L				109	157	0				
363	Thal_Central_lateral_L	Thal_Central_lateral_L	L				80	253	0				
364	Thal_Centralmedian_L	Thal_Centralmedian_L	L				42	135	0				
365	Thal_Laterodorsal_L	Thal_Laterodorsal_L	L				46	123	0				
366	Thal_Lateral_Geniculate_L	Thal_Lateral_Geniculate_L	L				108	205	0				
367	Thal_Lateral_Posterior_L	Thal_Lateral_Posterior_L	L				25	59	0				
368	Thal_Limitans_Suprageniculate_L	Thal_Limitans_Suprageniculate_L	L				153	128	0				
369	Thal_Mediodorsolateral_parvocellular_L	Thal_Mediodorsolateral_parvocellular_L	L				121	230	0				
370	Thal_Mediodorsomedial_magnocellular_L	Thal_Mediodorsomedial_magnocellular_L	L				178	147	0				
371	Thal_Medial_Geniculate_L	Thal_Medial_Geniculate_L	L				179	216	0				
372	Thal_Reuniens_L	Thal_Reuniens_L	L				163	189	0				
373	Thal_Parafascicular_L	Thal_Parafascicular_L	L				9	150	0				
374	Thal_Pulvinar_anterior_L	Thal_Pulvinar_anterior_L	L				18	63	0				
375	Thal_Pulvinar_inferior_L	Thal_Pulvinar_inferior_L	L				82	170	0				
376	Thal_Pulvinar_lateral_L	Thal_Pulvinar_lateral_L	L				136	22	0				
377	Thal_Pulvinar_medial_L	Thal_Pulvinar_medial_L	L				167	160	0				
378	Thal_Ventral_Anterior_L	Thal_Ventral_Anterior_L	L				104	169	0				
379	Thal_Ventral_Lateral_Anterior_L	Thal_Ventral_Lateral_Anterior_L	L				210	187	0				
380	Thal_Ventral_Lateral_Posterior_L	Thal_Ventral_Lateral_Posterior_L	L				184	228	0				
381	Thal_Ventral_posterolateral_L	Thal_Ventral_posterolateral_L	L				248	251	0				
382	Putamen_L	Putamen_L	L				136	197	0				
383	Caudate_L	Caudate_L	L				83	149	0				
384	Nucleus_Accumbens_L	Nucleus_Accumbens_L	L				27	237	0				
385	Globus_pallidus_externalis_L	Globus_pallidus_externalis_L	L				156	148	0				
386	Globus_pallidus_internalis_L	Globus_pallidus_internalis_L	L				199	5	0				
387	Amygdala_L	Amygdala_L	L				108	31	0				
388	Substantia_nigra_pars_compacta_L	Substantia_nigra_pars_compacta_L	L				24	220	0				
389	Substantia_nigra_pars_reticulata_L	Substantia_nigra_pars_reticulata_L	L				68	124	0				
390	Ventral_tegmenta_area_L	Ventral_tegmenta_area_L	L				40	216	0				
391	Mammillary_bodies_L	Mammillary_bodies_L	L				72	54	0				
392	Septal_nucleus_L	Septal_nucleus_L	L				113	141	0				
393	Nuclei_basal_L	Nuclei_basal_L	L				135	161	0				
394	Thal_AnteroventralNucleus_R	Thal_AnteroventralNucleus_R	R				6	221	0				
395	Thal_Central_medial_R	Thal_Central_medial_R	R				109	157	0				
396	Thal_Central_lateral_R	Thal_Central_lateral_R	R				80	253	0				
397	Thal_Centralmedian_R	Thal_Centralmedian_R	R				42	135	0				
398	Thal_Laterodorsal_R	Thal_Laterodorsal_R	R				46	123	0				
399	Thal_Lateral_Geniculate_R	Thal_Lateral_Geniculate_R	R				108	205	0				
400	Thal_Lateral_Posterior_R	Thal_Lateral_Posterior_R	R				25	59	0				
401	Thal_Limitans_Suprageniculate_R	Thal_Limitans_Suprageniculate_R	R				153	128	0				
402	Thal_Mediodorsolateral_parvocellular_R	Thal_Mediodorsolateral_parvocellular_R	R				121	230	0				
403	Thal_Mediodorsomedial_magnocellular_R	Thal_Mediodorsomedial_magnocellular_R	R				178	147	0				
404	Thal_Medial_Geniculate_R	Thal_Medial_Geniculate_R	R				179	216	0				
405	Thal_Reuniens_R	Thal_Reuniens_R	R				163	189	0				
406	Thal_Parafascicular_R	Thal_Parafascicular_R	R				9	150	0				
407	Thal_Pulvinar_anterior_R	Thal_Pulvinar_anterior_R	R				18	63	0				
408	Thal_Pulvinar_inferior_R	Thal_Pulvinar_inferior_R	R				82	170	0				
409	Thal_Pulvinar_lateral_R	Thal_Pulvinar_lateral_R	R				136	22	0				
410	Thal_Pulvinar_medial_R	Thal_Pulvinar_medial_R	R				167	160	0				
411	Thal_Ventral_Anterior_R	Thal_Ventral_Anterior_R	R				104	169	0				
412	Thal_Ventral_Lateral_Anterior_R	Thal_Ventral_Lateral_Anterior_R	R				210	187	0				
413	Thal_Ventral_Lateral_Posterior_R	Thal_Ventral_Lateral_Posterior_R	R				184	228	0				
414	Thal_Ventral_posterolateral_R	Thal_Ventral_posterolateral_R	R				248	251	0				
415	Putamen_R	Putamen_R	R				136	197	0				
416	Caudate_R	Caudate_R	R				83	149	0				
417	Nucleus_Accumbens_R	Nucleus_Accumbens_R	R				27	237	0				
418	Globus_pallidus_externalis_R	Globus_pallidus_externalis_R	R				156	148	0				
419	Globus_pallidus_internalis_R	Globus_pallidus_internalis_R	R				199	5	0				
420	Amygdala_R	Amygdala_R	R				108	31	0				
421	Substantia_nigra_pars_compacta_R	Substantia_nigra_pars_compacta_R	R				24	220	0				
422	Substantia_nigra_pars_reticulata_R	Substantia_nigra_pars_reticulata_R	R				68	124	0				
423	Ventral_tegmenta_area_R	Ventral_tegmenta_area_R	R				40	216	0				
424	Mammillary_bodies_R	Mammillary_bodies_R	R				72	54	0				
425	Septal_nucleus_R	Septal_nucleus_R	R				113	141	0				
426	Nuclei_basal_R	Nuclei_basal_R	R				135	161	0				
